graph_id,graph_hash,m,n,sample_id,seed,delete_probability,probability_bucket_index,attempt_index,deleted_cross_edges,deleted_edge_count,num_edges,L,x_star_bits,x_star_index,mis_size,x_star_left_count,x_star_right_count
cklr_m3_s11_0705c58ae270fade,0705c58ae270fade,3,9,11,2258410574889580943,0.03,0,40,"[[0,1,0],[2,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s12_bcbedf8fb959efd7,bcbedf8fb959efd7,3,9,12,1253517718323070909,0.03,0,42,"[[2,1,2]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s13_198a932c0fcbcb2c,198a932c0fcbcb2c,3,9,13,3910390575111148266,0.03,0,45,"[[0,1,0],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s14_5abb694d76af8aef,5abb694d76af8aef,3,9,14,2295013752709288223,0.03,0,46,"[[1,0,1]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s15_2118ce9772a7864e,2118ce9772a7864e,3,9,15,5417933993739570793,0.03,0,48,"[[1,1,1],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s17_98e0a20f1e773a18,98e0a20f1e773a18,3,9,17,8077670299179885230,0.03,0,59,"[[2,0,2]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s18_b313536bb1013fd3,b313536bb1013fd3,3,9,18,6035208787707141806,0.03,0,60,"[[2,1,0]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s19_29a707e0354328ca,29a707e0354328ca,3,9,19,5191300779465169152,0.03,0,73,"[[0,0,0]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s20_614b2c6e2f0f7f0f,614b2c6e2f0f7f0f,3,9,20,7350743537611087512,0.05,1,10,"[[1,1,2],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s21_eb71366301741e6e,eb71366301741e6e,3,9,21,6054525439224775637,0.05,1,13,"[[0,1,0],[1,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s22_f9571918f1e47613,f9571918f1e47613,3,9,22,6575660509030434226,0.05,1,14,"[[0,1,0],[1,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s23_9648b9132b416669,9648b9132b416669,3,9,23,4212590004224949674,0.05,1,27,"[[0,0,1]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s24_018ec6194b5d628a,018ec6194b5d628a,3,9,24,4170319534049489616,0.05,1,28,"[[0,0,0],[1,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s25_6015e97cb7e184ba,6015e97cb7e184ba,3,9,25,800083384293754550,0.05,1,29,"[[0,0,2]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s26_db571ddbc24c4ece,db571ddbc24c4ece,3,9,26,5910649804657706146,0.05,1,34,"[[1,1,0]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s27_f0334b6301c690e1,f0334b6301c690e1,3,9,27,4230058788579232859,0.05,1,39,"[[1,1,2]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s28_0401d902cf980057,0401d902cf980057,3,9,28,5529320639870506422,0.03,0,63,"[[0,1,1],[1,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s29_19e1e5b079e52a74,19e1e5b079e52a74,3,9,29,582727656478056765,0.05,1,49,"[[2,0,1]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s30_a167c8c9e09395ac,a167c8c9e09395ac,3,9,30,4880988683069686344,0.03,0,79,"[[0,1,2],[1,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s31_73925ee11ddc5dc5,73925ee11ddc5dc5,3,9,31,4730959470120351323,0.03,0,86,"[[0,1,1],[1,1,2],[2,0,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s32_a08bd02b60d8fc49,a08bd02b60d8fc49,3,9,32,5918027568631525547,0.05,1,57,"[[0,1,2],[1,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s34_548d61d5aa346e07,548d61d5aa346e07,3,9,34,4276259969809057772,0.05,1,62,"[[1,1,1],[1,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s35_66ef475e78d4cc5c,66ef475e78d4cc5c,3,9,35,1524370229821964174,0.05,1,64,"[[0,1,1],[1,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s36_7aa085d179f11036,7aa085d179f11036,3,9,36,6646281512556041818,0.03,0,149,"[[0,1,1],[0,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s37_26f6344a9ed63d7c,26f6344a9ed63d7c,3,9,37,6827916607056466125,0.05,1,69,"[[0,1,1],[1,1,2],[2,1,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s38_0f24be9e0ebb6b18,0f24be9e0ebb6b18,3,9,38,2563494197057785625,0.05,1,81,"[[0,0,2],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s39_928ce6228d019f4b,928ce6228d019f4b,3,9,39,5140011730318378197,0.05,1,82,"[[0,1,0],[1,1,1],[2,0,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s40_901151eb0e311dd5,901151eb0e311dd5,3,9,40,7872731804584643019,0.03,0,102,"[[0,1,0],[1,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s41_b8bfeeda5e4873e6,b8bfeeda5e4873e6,3,9,41,208797976902849814,0.03,0,157,"[[1,0,0],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s42_4664d9986963152f,4664d9986963152f,3,9,42,5822592977001533761,0.05,1,96,"[[0,1,1],[2,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s43_f6fff9ee64e28210,f6fff9ee64e28210,3,9,43,5690495085980298533,0.03,0,180,"[[2,1,0],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s44_537b11ddbc56fc0d,537b11ddbc56fc0d,3,9,44,1274985695481950377,0.05,1,4,"[[0,0,0],[1,1,2],[2,1,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s45_dcac022da38e2c98,dcac022da38e2c98,3,9,45,3187178570674813972,0.07,2,6,"[[0,0,0],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s46_8662bdfb3eaa9c2c,8662bdfb3eaa9c2c,3,9,46,5150385778178975247,0.05,1,10,"[[2,0,0],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s47_e935285ae0d46423,e935285ae0d46423,3,9,47,2678369069045424552,0.07,2,9,"[[1,1,0],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s48_bea0d1a409cd4322,bea0d1a409cd4322,3,9,48,1923048142549652179,0.07,2,12,"[[0,1,2]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s49_790b1ff69e66ad44,790b1ff69e66ad44,3,9,49,7594233306507828882,0.05,1,12,"[[1,0,2],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s50_ca192fc49275011d,ca192fc49275011d,3,9,50,264964453820758893,0.05,1,16,"[[0,0,1],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s51_442cd3b1e63c35c6,442cd3b1e63c35c6,3,9,51,5413535096679172635,0.07,2,19,"[[1,0,1],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s52_5b4225ae6316c524,5b4225ae6316c524,3,9,52,5711039986143013941,0.07,2,20,"[[0,0,0],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s53_fd7cf252d857bd89,fd7cf252d857bd89,3,9,53,5229037885876872367,0.07,2,21,"[[0,1,2],[1,0,1],[2,1,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s55_b18fb8539949ab91,b18fb8539949ab91,3,9,55,6735300540126293264,0.07,2,36,"[[1,1,2],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s57_db53dc1ffc36791d,db53dc1ffc36791d,3,9,57,6252937660767957061,0.07,2,41,"[[0,0,1],[1,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s58_561497856ee06628,561497856ee06628,3,9,58,7417722620547943573,0.07,2,43,"[[0,1,2],[1,0,0],[2,0,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s59_ce978e7a6447ecff,ce978e7a6447ecff,3,9,59,6788912246420480380,0.07,2,7,"[[0,0,0],[1,0,2],[2,0,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s60_4e5de30f7d1ab6bb,4e5de30f7d1ab6bb,3,9,60,2520343485711471120,0.07,2,50,"[[1,0,1],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s61_5e61e83f9d31d5b5,5e61e83f9d31d5b5,3,9,61,1624584575165592309,0.07,2,51,"[[1,1,0],[1,1,1],[2,0,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s62_6190cb14ad721650,6190cb14ad721650,3,9,62,4150982853015701194,0.07,2,58,"[[0,1,1],[1,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s63_97aeda28cba6fd12,97aeda28cba6fd12,3,9,63,8464372433953650691,0.07,2,8,"[[0,1,1],[1,0,0],[2,0,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s64_b576c55e3ddc46e3,b576c55e3ddc46e3,3,9,64,8866618483901394445,0.07,2,61,"[[0,1,0],[1,0,2],[2,0,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s65_0d4d3ff6bb58ffcd,0d4d3ff6bb58ffcd,3,9,65,8224230638319967241,0.03,0,144,"[[0,1,2],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s66_b5a8a8142a513996,b5a8a8142a513996,3,9,66,5090624312308891740,0.03,0,162,"[[1,1,2],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s67_dc5c342821cd63da,dc5c342821cd63da,3,9,67,745753676819119903,0.07,2,69,"[[0,1,1],[1,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s68_f17bb890dbeb5015,f17bb890dbeb5015,3,9,68,1500895030783068030,0.07,2,70,"[[0,1,0],[1,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s69_0d21de78c955f1e3,0d21de78c955f1e3,3,9,69,1985297699215775156,0.03,0,165,"[[0,0,1],[1,1,0],[1,1,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s70_9151a5d4dcc133b7,9151a5d4dcc133b7,3,9,70,2273653643454064723,0.03,0,172,"[[0,1,1],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s71_d7a279ff9849210b,d7a279ff9849210b,3,9,71,6701067134000120756,0.07,2,20,"[[1,0,0],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s72_a588d4fd40e02902,a588d4fd40e02902,3,9,72,1265218897847220291,0.03,0,192,"[[2,0,1],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s73_39b14ad9618f9dd1,39b14ad9618f9dd1,3,9,73,4615884754114119450,0.07,2,27,"[[0,0,1],[2,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s74_7d9001050ad43695,7d9001050ad43695,3,9,74,3556028845014502232,0.07,2,79,"[[0,1,0],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s75_e75aa6af92f1ac5a,e75aa6af92f1ac5a,3,9,75,6907188616136649943,0.09,3,1,"[[1,0,0],[1,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s76_ff0cd78129a5345d,ff0cd78129a5345d,3,9,76,5763566612024779477,0.09,3,2,"[[0,0,2],[1,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s78_047c073c21856f9a,047c073c21856f9a,3,9,78,4198078210879085471,0.09,3,4,"[[0,0,1],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s79_40a8a8809b70ec29,40a8a8809b70ec29,3,9,79,3148449138601025921,0.09,3,3,"[[0,1,2],[1,1,0],[2,0,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s80_bd6eacbeb40db5b3,bd6eacbeb40db5b3,3,9,80,8281592274122432514,0.09,3,16,"[[2,1,1],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s81_6504518010603d3d,6504518010603d3d,3,9,81,6187481021137573073,0.03,0,218,"[[0,0,2],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s82_10b8c6330d3875a3,10b8c6330d3875a3,3,9,82,8153580180947665620,0.09,3,20,"[[0,0,1],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s84_e664583e08cc7346,e664583e08cc7346,3,9,84,7754449582049608921,0.09,3,9,"[[0,0,0],[0,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s85_2999892e526ead39,2999892e526ead39,3,9,85,3347069064896443579,0.03,0,268,"[[1,1,0],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s86_beba379d829e8a76,beba379d829e8a76,3,9,86,4868739853437458745,0.09,3,31,"[[0,0,0],[1,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s87_a71e0abd02cff8be,a71e0abd02cff8be,3,9,87,1018958813094254052,0.09,3,32,"[[0,0,1],[1,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s89_bf73e209254c2666,bf73e209254c2666,3,9,89,7320478715643625163,0.09,3,34,"[[0,0,0],[0,0,2],[2,0,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s91_89a78314ef34711f,89a78314ef34711f,3,9,91,4784220423282441753,0.09,3,41,"[[0,0,1],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s92_fb77de051f2659ca,fb77de051f2659ca,3,9,92,5569209056359324247,0.09,3,42,"[[0,0,0],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s93_6706d66d89211af3,6706d66d89211af3,3,9,93,1620801202008753894,0.09,3,43,"[[0,1,2],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s94_92af32637822c519,92af32637822c519,3,9,94,5120570843581859046,0.09,3,46,"[[1,1,2],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s96_dcdb0abaa88ae55a,dcdb0abaa88ae55a,3,9,96,2961037638215792621,0.03,0,303,"[[0,1,1],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s97_a4dc361fd5a6f64e,a4dc361fd5a6f64e,3,9,97,3658559075079291320,0.09,3,50,"[[1,0,2],[2,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s98_b86de17139fe93af,b86de17139fe93af,3,9,98,3002730171509472312,0.09,3,53,"[[2,0,0],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s99_9d3d22197f4f887a,9d3d22197f4f887a,3,9,99,815414000421290063,0.03,0,306,"[[0,0,0],[1,0,2],[2,1,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s100_4e17e46717dd9553,4e17e46717dd9553,3,9,100,8699417691484084220,0.09,3,23,"[[0,0,0],[1,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s101_5166b73f06cec3a2,5166b73f06cec3a2,3,9,101,1733512326360205750,0.03,0,311,"[[0,1,0],[0,1,2],[1,0,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s102_3dbe06be7816b0cd,3dbe06be7816b0cd,3,9,102,312328894756297034,0.09,3,27,"[[0,1,0],[0,1,1],[1,1,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s104_ff1eab9dfc363a71,ff1eab9dfc363a71,3,9,104,1390597310256655222,0.09,3,73,"[[0,1,0],[0,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s105_29847faf353304b8,29847faf353304b8,3,9,105,4593703572293671384,0.11,4,3,"[[1,0,1],[1,0,2],[2,0,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s106_85cae029d6166664,85cae029d6166664,3,9,106,7573469753041383889,0.09,3,78,"[[0,1,1],[1,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s107_29bbb755968e311a,29bbb755968e311a,3,9,107,1443646110151674184,0.11,4,5,"[[1,1,1],[2,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s108_49c0dcbe786147b4,49c0dcbe786147b4,3,9,108,5093012004586628589,0.03,0,338,"[[1,1,1],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s109_276d23327993a29f,276d23327993a29f,3,9,109,4493349725130074845,0.11,4,6,"[[1,0,1],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s110_f09a41f8489981f2,f09a41f8489981f2,3,9,110,6964617147666441946,0.11,4,7,"[[0,0,2],[1,0,0],[2,0,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s111_f85bf04589dbce45,f85bf04589dbce45,3,9,111,7831099796205229271,0.11,4,9,"[[0,0,0],[1,0,0],[1,1,1],[2,0,0],[2,0,2]]",5,19,252,"[1,1,1,1,0,0,0,0,0]",15,4,3,1
cklr_m3_s113_6d0ad440d28e936f,6d0ad440d28e936f,3,9,113,8752828373238667644,0.03,0,406,"[[1,1,0],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s114_589f4df0cb76bc1f,589f4df0cb76bc1f,3,9,114,6427385605339850017,0.11,4,13,"[[1,1,2],[2,0,1],[2,0,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s115_c12d869b6b7ea230,c12d869b6b7ea230,3,9,115,4690512702360691109,0.11,4,14,"[[0,0,1],[0,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s116_52a83d3d3b59203a,52a83d3d3b59203a,3,9,116,518410823523314429,0.11,4,15,"[[0,0,0],[0,0,1],[1,1,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s117_16e25e853b3c855d,16e25e853b3c855d,3,9,117,7587157105608371397,0.03,0,413,"[[1,1,1],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s119_61097785d2d7ebf9,61097785d2d7ebf9,3,9,119,2455227232164179241,0.03,0,443,"[[0,1,2],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s121_6b664adea672d818,6b664adea672d818,3,9,121,374609077841075385,0.03,0,529,"[[0,1,0],[0,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s122_27f0f12761b81942,27f0f12761b81942,3,9,122,1738320821072717962,0.05,1,5,"[[0,1,2],[1,0,0],[2,1,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s124_7ce99201b8ffb7e9,7ce99201b8ffb7e9,3,9,124,8439109509075659340,0.05,1,8,"[[1,1,0],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s125_6764741c1b3b228c,6764741c1b3b228c,3,9,125,8806097157257527812,0.05,1,12,"[[1,1,0],[1,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s126_dad10a732b123627,dad10a732b123627,3,9,126,7444603458186855162,0.11,4,35,"[[0,0,0],[0,0,1],[0,0,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s127_7e5cb7e1020b5619,7e5cb7e1020b5619,3,9,127,3881065958876360781,0.11,4,36,"[[0,1,2],[1,0,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s130_f5ca87d0d3cf191f,f5ca87d0d3cf191f,3,9,130,5948623513889698095,0.05,1,26,"[[0,0,2],[1,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s132_25f00eebe0f95ee6,25f00eebe0f95ee6,3,9,132,1179195502937485832,0.05,1,34,"[[0,1,1],[1,0,1],[2,1,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s133_60c63000bad08d88,60c63000bad08d88,3,9,133,2593335787865504767,0.11,4,42,"[[0,1,1],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s135_f4e6a3b3d8d5929f,f4e6a3b3d8d5929f,3,9,135,6426614138400206426,0.05,1,45,"[[0,0,2],[1,1,0],[2,1,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s138_efd923146fd05208,efd923146fd05208,3,9,138,1415981435787608790,0.11,4,52,"[[1,0,2],[2,1,1],[2,1,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s139_3df3b2c650389c56,3df3b2c650389c56,3,9,139,1416005515280467893,0.05,1,63,"[[0,1,0],[2,1,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s142_871afeedf166ea2d,871afeedf166ea2d,3,9,142,1060191063355130700,0.11,4,58,"[[1,1,0],[1,1,2],[2,0,1]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s144_d328ce2e70d915a0,d328ce2e70d915a0,3,9,144,9009690022110135194,0.11,4,61,"[[0,1,0],[2,0,0],[2,0,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s146_5484a374b874f1ec,5484a374b874f1ec,3,9,146,3111990119330127995,0.05,1,75,"[[0,0,1],[1,0,2],[2,0,0]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s147_ea1e438183ea2969,ea1e438183ea2969,3,9,147,5339052515106176711,0.05,1,76,"[[0,0,0],[1,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s150_dfea1762072bfa6a,dfea1762072bfa6a,3,9,150,3867419701816738196,0.11,4,72,"[[0,1,2],[2,0,1],[2,0,2]]",3,21,270,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s151_50d61d06b2f50e93,50d61d06b2f50e93,3,9,151,1727970920820545936,0.11,4,77,"[[0,0,0],[2,0,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s152_2cf3a5d267586744,2cf3a5d267586744,3,9,152,4769017249272792178,0.11,4,78,"[[1,0,1],[1,0,2],[2,1,0],[2,1,2]]",4,20,261,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
